game_id,year,week,away,home,referee
2021_1_DAL_TB,2021,1,DAL,TB,Shawn Hochuli
2021_1_JAX_HOU,2021,1,JAX,HOU,Land Clark
2021_1_LAC_WAS,2021,1,LAC,WAS,Alex Kemp
2021_1_SEA_IND,2021,1,SEA,IND,Tony Corrente
2021_1_NYJ_CAR,2021,1,NYJ,CAR,Clay Martin
2021_1_MIN_CIN,2021,1,MIN,CIN,Adrian Hill
2021_1_ARI_TEN,2021,1,ARI,TEN,Jerome Boger
2021_1_SF_DET,2021,1,SF,DET,Brad Rogers
2021_1_PIT_BUF,2021,1,PIT,BUF,John Hussey
2021_1_PHI_ATL,2021,1,PHI,ATL,Scott Novak
2021_1_CLE_KC,2021,1,CLE,KC,Bill Vinovich
2021_1_GB_NO,2021,1,GB,NO,Carl Cheffers
2021_1_DEN_NYG,2021,1,DEN,NYG,Ron Torbert
2021_1_MIA_NE,2021,1,MIA,NE,Clete Blakeman
2021_1_CHI_LA,2021,1,CHI,LA,Brad Allen
2021_1_BAL_LV,2021,1,BAL,LV,Shawn Smith
2021_2_NYG_WAS,2021,2,NYG,WAS,Scott Novak
2021_2_NE_NYJ,2021,2,NE,NYJ,Shawn Hochuli
2021_2_DEN_JAX,2021,2,DEN,JAX,Clay Martin
2021_2_BUF_MIA,2021,2,BUF,MIA,Craig Wrolstad
2021_2_SF_PHI,2021,2,SF,PHI,Brad Allen
2021_2_LA_IND,2021,2,LA,IND,Shawn Smith
2021_2_LV_PIT,2021,2,LV,PIT,Jerome Boger
2021_2_CIN_CHI,2021,2,CIN,CHI,Land Clark
2021_2_HOU_CLE,2021,2,HOU,CLE,Brad Rogers
2021_2_NO_CAR,2021,2,NO,CAR,Ron Torbert
2021_2_MIN_ARI,2021,2,MIN,ARI,Bill Vinovich
2021_2_ATL_TB,2021,2,ATL,TB,Carl Cheffers
2021_2_TEN_SEA,2021,2,TEN,SEA,John Hussey
2021_2_DAL_LAC,2021,2,DAL,LAC,Tony Corrente
2021_2_KC_BAL,2021,2,KC,BAL,Clete Blakeman
2021_2_DET_GB,2021,2,DET,GB,Adrian Hill
2021_3_CAR_HOU,2021,3,CAR,HOU,Alex Kemp
2021_3_IND_TEN,2021,3,IND,TEN,Bill Vinovich
2021_3_ATL_NYG,2021,3,ATL,NYG,Adrian Hill
2021_3_LAC_KC,2021,3,LAC,KC,Shawn Hochuli
2021_3_CIN_PIT,2021,3,CIN,PIT,Clete Blakeman
2021_3_CHI_CLE,2021,3,CHI,CLE,Ron Torbert
2021_3_BAL_DET,2021,3,BAL,DET,Scott Novak
2021_3_NO_NE,2021,3,NO,NE,John Hussey
2021_3_ARI_JAX,2021,3,ARI,JAX,Shawn Smith
2021_3_WAS_BUF,2021,3,WAS,BUF,Tony Corrente
2021_3_NYJ_DEN,2021,3,NYJ,DEN,Land Clark
2021_3_MIA_LV,2021,3,MIA,LV,Carl Cheffers
2021_3_SEA_MIN,2021,3,SEA,MIN,Clay Martin
2021_3_TB_LA,2021,3,TB,LA,Craig Wrolstad
2021_3_GB_SF,2021,3,GB,SF,Jerome Boger
2021_3_PHI_DAL,2021,3,PHI,DAL,Brad Rogers
2021_4_JAX_CIN,2021,4,JAX,CIN,Brad Allen
2021_4_TEN_NYJ,2021,4,TEN,NYJ,Adrian Hill
2021_4_KC_PHI,2021,4,KC,PHI,Land Clark
2021_4_CAR_DAL,2021,4,CAR,DAL,Jerome Boger
2021_4_NYG_NO,2021,4,NYG,NO,Brad Rogers
2021_4_CLE_MIN,2021,4,CLE,MIN,Tony Corrente
2021_4_DET_CHI,2021,4,DET,CHI,Shawn Smith
2021_4_HOU_BUF,2021,4,HOU,BUF,Ron Torbert
2021_4_IND_MIA,2021,4,IND,MIA,Alex Kemp
2021_4_WAS_ATL,2021,4,WAS,ATL,Clay Martin
2021_4_SEA_SF,2021,4,SEA,SF,Carl Cheffers
2021_4_ARI_LA,2021,4,ARI,LA,Shawn Hochuli
2021_4_PIT_GB,2021,4,PIT,GB,Scott Novak
2021_4_BAL_DEN,2021,4,BAL,DEN,Craig Wrolstad
2021_4_TB_NE,2021,4,TB,NE,Bill Vinovich
2021_4_LV_LAC,2021,4,LV,LAC,John Hussey
2021_5_LA_SEA,2021,5,LA,SEA,Ron Torbert
2021_5_NYJ_ATL,2021,5,NYJ,ATL,Tony Corrente
2021_5_DET_MIN,2021,5,DET,MIN,Clete Blakeman
2021_5_NO_WAS,2021,5,NO,WAS,Shawn Smith
2021_5_NE_HOU,2021,5,NE,HOU,Scott Novak
2021_5_MIA_TB,2021,5,MIA,TB,Jerome Boger
2021_5_GB_CIN,2021,5,GB,CIN,Bill Vinovich
2021_5_DEN_PIT,2021,5,DEN,PIT,Brad Rogers
2021_5_PHI_CAR,2021,5,PHI,CAR,Shawn Hochuli
